datetime,mean_value,split,train_end,val_end,test_end,num_variables
1990-01-01,0.6536200000000001,train,4552,6071,7588,8
1990-01-02,0.65281175,train,4552,6071,7588,8
1990-01-03,0.658421375,train,4552,6071,7588,8
1990-01-04,0.6593395,train,4552,6071,7588,8
1990-01-05,0.662532125,train,4552,6071,7588,8
1990-01-06,0.6630643749999999,train,4552,6071,7588,8
1990-01-07,0.665917,train,4552,6071,7588,8
1990-01-08,0.6657275,train,4552,6071,7588,8
1990-01-09,0.6693116250000001,train,4552,6071,7588,8
1990-01-10,0.664927625,train,4552,6071,7588,8
1990-01-11,0.665438125,train,4552,6071,7588,8
1990-01-12,0.6640105000000001,train,4552,6071,7588,8
1990-01-13,0.663741625,train,4552,6071,7588,8
1990-01-14,0.6617972499999999,train,4552,6071,7588,8
1990-01-15,0.661345375,train,4552,6071,7588,8
1990-01-16,0.658953,train,4552,6071,7588,8
1990-01-17,0.659101875,train,4552,6071,7588,8
1990-01-18,0.65848175,train,4552,6071,7588,8
1990-01-19,0.663014875,train,4552,6071,7588,8
1990-01-20,0.6638483749999999,train,4552,6071,7588,8
1990-01-21,0.6640935,train,4552,6071,7588,8
1990-01-22,0.66433625,train,4552,6071,7588,8
1990-01-23,0.6647942499999999,train,4552,6071,7588,8
1990-01-24,0.6662896250000001,train,4552,6071,7588,8
1990-01-25,0.6681313750000001,train,4552,6071,7588,8
1990-01-26,0.664857375,train,4552,6071,7588,8
1990-01-27,0.6615283750000001,train,4552,6071,7588,8
1990-01-28,0.6617086249999999,train,4552,6071,7588,8
1990-01-29,0.661838875,train,4552,6071,7588,8
1990-01-30,0.661322375,train,4552,6071,7588,8
1990-01-31,0.659592875,train,4552,6071,7588,8
1990-02-01,0.6600275,train,4552,6071,7588,8
1990-02-02,0.662165,train,4552,6071,7588,8
1990-02-03,0.664299875,train,4552,6071,7588,8
1990-02-04,0.6660381250000001,train,4552,6071,7588,8
1990-02-05,0.6674829999999999,train,4552,6071,7588,8
1990-02-06,0.666478,train,4552,6071,7588,8
1990-02-07,0.6634466250000001,train,4552,6071,7588,8
1990-02-08,0.663168875,train,4552,6071,7588,8
1990-02-09,0.66250775,train,4552,6071,7588,8
1990-02-10,0.65889525,train,4552,6071,7588,8
1990-02-11,0.65605875,train,4552,6071,7588,8
1990-02-12,0.655455375,train,4552,6071,7588,8
1990-02-13,0.65754625,train,4552,6071,7588,8
1990-02-14,0.6557930000000001,train,4552,6071,7588,8
1990-02-15,0.6566207500000001,train,4552,6071,7588,8
1990-02-16,0.653825,train,4552,6071,7588,8
1990-02-17,0.65166375,train,4552,6071,7588,8
1990-02-18,0.650188875,train,4552,6071,7588,8
1990-02-19,0.652168625,train,4552,6071,7588,8
1990-02-20,0.652582,train,4552,6071,7588,8
1990-02-21,0.6532795,train,4552,6071,7588,8
1990-02-22,0.6512132500000001,train,4552,6071,7588,8
1990-02-23,0.651088,train,4552,6071,7588,8
1990-02-24,0.647851125,train,4552,6071,7588,8
1990-02-25,0.6489173749999999,train,4552,6071,7588,8
1990-02-26,0.6486277500000001,train,4552,6071,7588,8
1990-02-27,0.649932875,train,4552,6071,7588,8
1990-02-28,0.651197875,train,4552,6071,7588,8
1990-03-01,0.651058625,train,4552,6071,7588,8
1990-03-02,0.653929,train,4552,6071,7588,8
1990-03-03,0.656482125,train,4552,6071,7588,8
1990-03-04,0.653949625,train,4552,6071,7588,8
1990-03-05,0.6555186249999999,train,4552,6071,7588,8
1990-03-06,0.65716625,train,4552,6071,7588,8
1990-03-07,0.6570891249999999,train,4552,6071,7588,8
1990-03-08,0.6570457500000001,train,4552,6071,7588,8
1990-03-09,0.6574278750000001,train,4552,6071,7588,8
1990-03-10,0.6569542500000001,train,4552,6071,7588,8
1990-03-11,0.6587823750000001,train,4552,6071,7588,8
1990-03-12,0.65905,train,4552,6071,7588,8
1990-03-13,0.6581345000000002,train,4552,6071,7588,8
1990-03-14,0.6567732500000001,train,4552,6071,7588,8
1990-03-15,0.6566693750000001,train,4552,6071,7588,8
1990-03-16,0.658825,train,4552,6071,7588,8
1990-03-17,0.660528,train,4552,6071,7588,8
1990-03-18,0.658744875,train,4552,6071,7588,8
1990-03-19,0.6581655,train,4552,6071,7588,8
1990-03-20,0.6583037500000001,train,4552,6071,7588,8
1990-03-21,0.659750375,train,4552,6071,7588,8
1990-03-22,0.657664125,train,4552,6071,7588,8
1990-03-23,0.6569812500000001,train,4552,6071,7588,8
1990-03-24,0.657686625,train,4552,6071,7588,8
1990-03-25,0.656356375,train,4552,6071,7588,8
1990-03-26,0.6575523750000001,train,4552,6071,7588,8
1990-03-27,0.6580943750000001,train,4552,6071,7588,8
1990-03-28,0.66120175,train,4552,6071,7588,8
1990-03-29,0.663251875,train,4552,6071,7588,8
1990-03-30,0.66396125,train,4552,6071,7588,8
1990-03-31,0.6664487499999999,train,4552,6071,7588,8
1990-04-01,0.6672521250000001,train,4552,6071,7588,8
1990-04-02,0.6668272500000002,train,4552,6071,7588,8
1990-04-03,0.6682482500000001,train,4552,6071,7588,8
1990-04-04,0.6668227500000001,train,4552,6071,7588,8
1990-04-05,0.6671703750000001,train,4552,6071,7588,8
1990-04-06,0.6685513750000002,train,4552,6071,7588,8
1990-04-07,0.6676926249999999,train,4552,6071,7588,8
1990-04-08,0.6669793750000002,train,4552,6071,7588,8
1990-04-09,0.666262625,train,4552,6071,7588,8
1990-04-10,0.6680425,train,4552,6071,7588,8
1990-04-11,0.6665521250000002,train,4552,6071,7588,8
1990-04-12,0.6667973750000001,train,4552,6071,7588,8
1990-04-13,0.668721125,train,4552,6071,7588,8
1990-04-14,0.6690195000000001,train,4552,6071,7588,8
1990-04-15,0.6659412500000002,train,4552,6071,7588,8
1990-04-16,0.6668382500000002,train,4552,6071,7588,8
1990-04-17,0.66506025,train,4552,6071,7588,8
1990-04-18,0.6671511250000001,train,4552,6071,7588,8
1990-04-19,0.669153125,train,4552,6071,7588,8
1990-04-20,0.6697784999999999,train,4552,6071,7588,8
1990-04-21,0.6673386250000001,train,4552,6071,7588,8
1990-04-22,0.6681465000000001,train,4552,6071,7588,8
1990-04-23,0.67035625,train,4552,6071,7588,8
1990-04-24,0.6714515000000001,train,4552,6071,7588,8
1990-04-25,0.671521125,train,4552,6071,7588,8
1990-04-26,0.671323625,train,4552,6071,7588,8
1990-04-27,0.6739723750000001,train,4552,6071,7588,8
1990-04-28,0.6762636250000001,train,4552,6071,7588,8
1990-04-29,0.6761490000000001,train,4552,6071,7588,8
1990-04-30,0.6775802500000002,train,4552,6071,7588,8
1990-05-01,0.6775311250000001,train,4552,6071,7588,8
1990-05-02,0.6772101250000001,train,4552,6071,7588,8
1990-05-03,0.6788375000000001,train,4552,6071,7588,8
1990-05-04,0.6802235000000001,train,4552,6071,7588,8
1990-05-05,0.679370625,train,4552,6071,7588,8
1990-05-06,0.6812022500000001,train,4552,6071,7588,8
1990-05-07,0.6858207500000001,train,4552,6071,7588,8
1990-05-08,0.6884785000000001,train,4552,6071,7588,8
1990-05-09,0.6884203750000001,train,4552,6071,7588,8
1990-05-10,0.688928875,train,4552,6071,7588,8
1990-05-11,0.69316375,train,4552,6071,7588,8
1990-05-12,0.6954246250000001,train,4552,6071,7588,8
1990-05-13,0.6916175,train,4552,6071,7588,8
1990-05-14,0.6899757500000001,train,4552,6071,7588,8
1990-05-15,0.6909918750000001,train,4552,6071,7588,8
1990-05-16,0.6889692500000001,train,4552,6071,7588,8
1990-05-17,0.6920811250000001,train,4552,6071,7588,8
1990-05-18,0.6940555000000002,train,4552,6071,7588,8
1990-05-19,0.69165325,train,4552,6071,7588,8
1990-05-20,0.6920155000000001,train,4552,6071,7588,8
1990-05-21,0.6940005,train,4552,6071,7588,8
1990-05-22,0.6957097499999999,train,4552,6071,7588,8
1990-05-23,0.69408325,train,4552,6071,7588,8
1990-05-24,0.692856625,train,4552,6071,7588,8
1990-05-25,0.697288875,train,4552,6071,7588,8
